13:20:07| finished reading file
13:20:08| Error retrieving http://127.0.0.1:8790/people/35
: Status code 404
13:20:08| Error retrieving http://127.0.0.1:8790/people/30
: Status code 404
13:20:08| Error retrieving http://127.0.0.1:8790/people/52
: Status code 404
13:20:08| Error retrieving http://127.0.0.1:8790/people/18
: Status code 404
13:20:09| Error retrieving http://127.0.0.1:8790/people/78
: Status code 404
13:20:09| Error retrieving http://127.0.0.1:8790/people/5
: Status code 404
13:20:09| Error retrieving http://127.0.0.1:8790/people/8
: Status code 404
13:20:09| Error retrieving http://127.0.0.1:8790/people/79
: Status code 404
13:20:10| Error retrieving http://127.0.0.1:8790/people/53
: Status code 404
13:20:10| Error retrieving http://127.0.0.1:8790/people/82
: Status code 404
13:20:10| Error retrieving http://127.0.0.1:8790/people/3
: Status code 404
13:20:10| Error retrieving http://127.0.0.1:8790/people/63
: Status code 404
13:20:11| Error retrieving http://127.0.0.1:8790/people/51
: Status code 404
13:20:11| Error retrieving http://127.0.0.1:8790/people/46
: Status code 404
13:20:11| Error retrieving http://127.0.0.1:8790/people/55
: Status code 404
13:20:11| Error retrieving http://127.0.0.1:8790/people/56
: Status code 404
13:20:12| Error retrieving http://127.0.0.1:8790/people/75
: Status code 404
13:20:12| Error retrieving http://127.0.0.1:8790/people/54
: Status code 404
13:20:12| Error retrieving http://127.0.0.1:8790/people/80
: Status code 404
13:20:12| Error retrieving http://127.0.0.1:8790/people/4
: Status code 404
13:20:13| Error retrieving http://127.0.0.1:8790/people/76
: Status code 404
13:20:13| Error retrieving http://127.0.0.1:8790/people/21
: Status code 404
13:20:13| Error retrieving http://127.0.0.1:8790/people/1
: Status code 404
13:20:13| Error retrieving http://127.0.0.1:8790/people/83
: Status code 404
13:20:14| Error retrieving http://127.0.0.1:8790/people/64
: Status code 404
13:20:14| Error retrieving http://127.0.0.1:8790/people/12
: Status code 404
13:20:14| Error retrieving http://127.0.0.1:8790/people/67
: Status code 404
13:20:14| Error retrieving http://127.0.0.1:8790/people/13
: Status code 404
13:20:15| Error retrieving http://127.0.0.1:8790/people/81
: Status code 404
13:20:15| Error retrieving http://127.0.0.1:8790/people/7
: Status code 404
13:20:15| Error retrieving http://127.0.0.1:8790/people/20
: Status code 404
13:20:15| Error retrieving http://127.0.0.1:8790/people/6
: Status code 404
13:20:16| Error retrieving http://127.0.0.1:8790/people/33
: Status code 404
13:20:16| Error retrieving http://127.0.0.1:8790/people/11
: Status code 404
13:20:16| Error retrieving http://127.0.0.1:8790/people/2
: Status code 404
13:20:16| Error retrieving http://127.0.0.1:8790/people/58
: Status code 404
13:20:17| Error retrieving http://127.0.0.1:8790/people/68
: Status code 404
13:20:17| Retrieved: Obi-Wan Kenobi
13:20:17| Time to process all URLS = 10.13701080
